District,Crop,Cost_of_Cultivation_INR_per_ha
Angul,Groundnut,61000
Angul,Maize,66800
Angul,Moong(Green Gram),40500
Angul,Ragi,48800
Angul,Rice,79500
Angul,Sesamum,37300
Angul,Urad,41200
Angul,Horse-gram,34800
Angul,Potato,124900
Angul,Rapeseed &Mustard,56500
Angul,Sugarcane,157800
Angul,Cotton(lint),75300
Angul,Arhar/Tur,44500
Angul,Jute,62400
Balangir,Groundnut,61900
Balangir,Maize,70300
Balangir,Moong(Green Gram),42600
Balangir,Ragi,48500
Balangir,Rice,80900
Balangir,Sesamum,39900
Balangir,Urad,41400
Balangir,Horse-gram,35600
Balangir,Potato,130000
Balangir,Rapeseed &Mustard,57700
Balangir,Sugarcane,157800
Balangir,Cotton(lint),77200
Balangir,Arhar/Tur,46300
Balangir,Jute,65600
Balasore,Groundnut,67700
Balasore,Maize,74700
Balasore,Moong(Green Gram),42900
Balasore,Ragi,53000
Balasore,Rice,89000
Balasore,Sesamum,41500
Balasore,Urad,46900
Balasore,Horse-gram,37900
Balasore,Potato,140400
Balasore,Rapeseed &Mustard,61900
Balasore,Sugarcane,175300
Balasore,Cotton(lint),84900
Balasore,Arhar/Tur,50300
Balasore,Jute,66300
Bargarh,Groundnut,64600
Bargarh,Maize,70900
Bargarh,Moong(Green Gram),42300
Bargarh,Ragi,50700
Bargarh,Rice,82500
Bargarh,Sesamum,39400
Bargarh,Urad,44100
Bargarh,Horse-gram,36900
Bargarh,Potato,140800
Bargarh,Rapeseed &Mustard,57800
Bargarh,Sugarcane,163800
Bargarh,Cotton(lint),77200
Bargarh,Arhar/Tur,49300
Bargarh,Jute,64600
Bhadrak,Groundnut,60300
Bhadrak,Maize,66700
Bhadrak,Moong(Green Gram),41400
Bhadrak,Ragi,47200
Bhadrak,Rice,76200
Bhadrak,Sesamum,39000
Bhadrak,Urad,41600
Bhadrak,Horse-gram,34000
Bhadrak,Potato,128900
Bhadrak,Rapeseed &Mustard,53800
Bhadrak,Sugarcane,153100
Bhadrak,Cotton(lint),72500
Bhadrak,Arhar/Tur,44700
Bhadrak,Jute,62000
Boudh,Groundnut,59600
Boudh,Maize,66300
Boudh,Moong(Green Gram),38900
Boudh,Ragi,48600
Boudh,Rice,78300
Boudh,Sesamum,37700
Boudh,Urad,40500
Boudh,Horse-gram,34700
Boudh,Potato,129400
Boudh,Rapeseed &Mustard,56700
Boudh,Sugarcane,158000
Boudh,Cotton(lint),71800
Boudh,Arhar/Tur,45100
Boudh,Jute,63100
Cuttack,Groundnut,65100
Cuttack,Maize,75100
Cuttack,Moong(Green Gram),45400
Cuttack,Ragi,51700
Cuttack,Rice,84300
Cuttack,Sesamum,41400
Cuttack,Urad,46000
Cuttack,Horse-gram,37400
Cuttack,Potato,139200
Cuttack,Rapeseed &Mustard,62000
Cuttack,Sugarcane,180900
Cuttack,Cotton(lint),84600
Cuttack,Arhar/Tur,48700
Cuttack,Jute,70000
Deogarh,Groundnut,63500
Deogarh,Maize,68100
Deogarh,Moong(Green Gram),43100
Deogarh,Ragi,51200
Deogarh,Rice,81600
Deogarh,Sesamum,40000
Deogarh,Urad,43100
Deogarh,Horse-gram,36700
Deogarh,Potato,132100
Deogarh,Rapeseed &Mustard,58100
Deogarh,Sugarcane,161800
Deogarh,Cotton(lint),81200
Deogarh,Arhar/Tur,46800
Deogarh,Jute,63300
Dhenkanal,Groundnut,64600
Dhenkanal,Maize,73300
Dhenkanal,Moong(Green Gram),42700
Dhenkanal,Ragi,50100
Dhenkanal,Rice,85800
Dhenkanal,Sesamum,41000
Dhenkanal,Urad,43900
Dhenkanal,Horse-gram,36200
Dhenkanal,Potato,134100
Dhenkanal,Rapeseed &Mustard,59000
Dhenkanal,Sugarcane,164900
Dhenkanal,Cotton(lint),77600
Dhenkanal,Arhar/Tur,47400
Dhenkanal,Jute,66900
Gajapati,Groundnut,61600
Gajapati,Maize,68900
Gajapati,Moong(Green Gram),42800
Gajapati,Ragi,48700
Gajapati,Rice,82900
Gajapati,Sesamum,40400
Gajapati,Urad,42400
Gajapati,Horse-gram,35200
Gajapati,Potato,132700
