crop_id,crop_name,season_id,season_name,sowing_start_month,sowing_end_month,harvesting_start_month,harvesting_end_month,crop_duration_days,optimal_temperature_min_c,optimal_temperature_max_c,optimal_rainfall_min_mm,optimal_rainfall_max_mm,water_requirement_mm,soil_ph_min,soil_ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,preferred_soil_texture,drainage_requirement,drought_tolerance,waterlogging_tolerance,source_name,source_reference,source_year,data_status
CRP001,Groundnut,SEA01,Kharif,6,7,10,11,110,22,32,450,650,500,5.5,7.0,Medium,Medium,Medium,Sandy loam,Well drained,High,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP004,Maize,SEA01,Kharif,6,7,9,10,90,20,30,500,800,600,5.5,7.5,High,Medium,High,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP005,Moong(Green Gram),SEA01,Kharif,6,7,9,11,100,20,32,400,800,600,5.5,7.5,Medium,Medium,Medium,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP007,Ragi,SEA01,Kharif,6,7,9,10,100,20,30,450,700,550,5.0,7.5,Medium,Medium,Medium,Loam to sandy loam,Well drained,High,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP009,Rice,SEA01,Kharif,6,7,10,11,120,20,35,1000,2000,1500,5.0,7.5,High,Medium,High,Clay loam,Moderate to poor depending on lowland system,Medium,High,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP010,Sesamum,SEA01,Kharif,6,7,9,10,90,25,35,350,650,450,5.5,8.0,Low,Medium,Medium,Sandy loam,Well drained,High,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP012,Urad,SEA01,Kharif,6,7,9,10,75,25,35,350,600,450,5.5,7.5,Low,Medium,Medium,Sandy loam to loam,Well drained,High,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP002,Horse Gram,SEA01,Kharif,6,7,9,11,100,20,32,400,800,600,5.5,7.5,Medium,Medium,Medium,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP006,Potato,SEA02,Rabi,10,11,1,3,100,15,25,500,700,600,5.0,6.5,Low,Medium,Medium,Sandy loam to loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP008,Rapeseed &Mustard,SEA01,Kharif,6,7,9,11,100,20,32,400,800,600,5.5,7.5,Medium,Medium,Medium,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP011,Sugarcane,SEA01,Kharif,2,6,11,2,300,20,35,1500,2500,2000,6.0,7.5,High,Medium,High,Loam to clay loam,Good drainage,Low,High,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP003,Jute,SEA01,Kharif,6,7,9,11,100,20,32,400,800,600,5.5,7.5,Medium,Medium,Medium,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
CRP013,Wheat,SEA01,Kharif,6,7,9,11,100,20,32,400,800,600,5.5,7.5,Medium,Medium,Medium,Loam,Well drained,Medium,Low,Odisha Agriculture Department / ICAR agronomy guidance + agronomic consensus ranges,Odisha Crop Contingency Plan 2025; Odisha Agriculture Statistics; ICAR Odisha agriculture guidance,2025,PROTOTYPE_CONSENSUS_RANGE
